name,price,quantity,quantity_unit,company_id,url,food_name,raw_to_cooked,each_g
Pacific Corned Beef In Natural Juice 340g,599,340,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=266006&name=pacific-corned-beef-in-natural-juice&searchString=corned+beef,Beef; corned; canned; Corned Beef; Golden Country,,
Leggos Tomato Paste 2pk 280g,290,280,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=91990&name=leggos-tomato-paste-2pk&searchString=tomato+paste,Tomato; paste; canned; composite,,
Butchery Chicken Mince Premium Small ,1699,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=290528&name=butchery-chicken-mince-premium-small-pk&searchString=chicken+mince,Chicken; mince; pan fried; with no added fat; premium; Tegal,,
Fresh Produce Avocado,149,1,ea,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=354360&name=fresh-produce-avocado&searchString=avocado,Avocado; flesh; raw; combined varieties,,170
Fresh Produce Kiwifruit Gold loose 1kg,599,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=282876&name=fresh-produce-kiwifruit-gold&searchString=kiwifruit+gold,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),,
Fresh Produce Kiwifruit Green Imported,499,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=267082&name=fresh-produce-kiwifruit-green-imported&searchString=kiwifruit,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),,
Fresh Produce Capsicum Red each,189,1,ea,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=281197&name=fresh-produce-capsicum-red&searchString=capsicum+red,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,,74
Fresh Produce Broccoli Head each,179,1,ea,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=281082&name=fresh-produce-broccoli-head&searchString=broccoli,Broccoli; inflorescent vegetable; raw,,150
100% Kiwi Olive Oil Extra Virgin 250ml,699,250,ml,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=333250&name=100-kiwi-olive-oil-extra-virgin&searchString=olive+oil,Oil; olive,,
Fresh Produce Salad Mesclun & Herb bagged 130g,399,130,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=512210&name=fresh-produce-salad-mesclun-herb&searchString=mesculun,Salad; leafy vegetable; raw; Mesclun; composite,,
Countdown Spinach prepacked 400g,399,400,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=325052&name=countdown-spinach&searchString=spinach,Spinach; leafy vegetable; raw; English,,
Fresh Produce Celery Whole Bunch each,549,1,ea,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=337262&name=fresh-produce-celery-whole-bunch&searchString=celery,Celery; stem vegetable; stalk; stir fried; green; American Green,,360
Sealord Crab Meat Genuine 170g,589,170,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=270245&name=sealord-crab-meat-genuine&searchString=crab,Crabmeat; in brine; canned,,
Diced Prime Beef Steak,1087,1,kg,wholesalemeat,https://www.wholesalemeat.co.nz/shop/beef/diced-prime-beef-steak/,Beef; forequarter chuck steak; separable lean; braised,,
Fresh Produce Potatoes White Washed,299,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=147120&name=fresh-produce-potatoes-white-washed&searchString=potatoes,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,,
