vitamin_a_rae,name,magnesium,phosphorus,price_100g,folate_dfe,iron,price,riboflavin,thiamin,potassium,vitamin_k1,iodine,quantity,vitamin_b12,calcium,vitamin_b6,calories,niacin_ne,mercury,quantity_unit,vit_e_a_tocopherol,copper,pantothenic_acid,vitamin_c,molybdenum,biotin,o3_epa_dha_dpa,selenium,zinc,chromium,id,protein,edible_portion,manganese
311.94,Cheese; Edam; Anchor,30.0,600.0,80,0.0282,0.05,800.0,0.56,0.06,71.0,0.0,4.6,1.0,0.0036,990.0,0.13,361.59,5.78,4.9e-4,kg,0.67,0.04,0.0,0.0,0.008,0.0,0.0,0.011,3.8,0.0041,48,28.07,1.0,0.024
18.07,Beef; corned; canned; Corned Beef; Golden Country,16.0,128.0,176,0.005,3.0,599.0,0.11,0.0,195.0,0.0,50.0,340.0,0.0038,16.1,0.15,217.1,7.1,0.0,g,0.56,0.16,0.0,0.0,0.0,0.0,0.016,0.0093,2.5,0.0,64,15.8,1.0,0.029
3.55,Lamb; offal; heart; simmered & drained,21.92,237.17,104,0.0,4.94,449.0,0.84,0.23,187.1,0.0,1.66,600.0,0.00918,5.48,0.13,160.91,10.59,0.0,g,0.63,0.64,1.83,0.0,0.0,0.0,0.136,0.0203,2.66,0.0,55,26.26,0.723,0.02774
301.08,Cheese; Gruyere,35.9,605.0,450,0.0104,0.17,900.0,0.28,0.06,81.0,0.0,5.5,200.0,0.0016,1010.0,0.08,410.24,6.5,0.0,g,0.58,0.03,0.56,0.0,0.0,0.0015,0.0,0.0145,3.9,0.0,7,29.79,1.0,0.017
19872.0,Lamb; offal; lambs fry; fried,20.9,458.8,51,0.43027,5.4,499.0,5.27,1.57,287.2,0.0,4.7,1.0,0.0575,5.0,0.19,162.24,17.88,0.0,kg,1.12,13.4,5.22,0.0,0.0,0.0,0.5509999999999999,0.01902,5.1,0.0,11,25.8,0.986,0.37
12.16,Beef; forequarter chuck steak; separable lean; braised,19.14,156.96,119,0.00594,2.71,1087.0,0.14,0.03,188.52,0.0,1.25,1.0,0.00197,5.85,0.15,208.31,7.03,0.0,kg,0.9,0.1,0.0,0.0,0.0,0.0,0.07200000000000001,0.00208,7.81,0.0,77,32.08,0.91,0.01038
51.42,Mussel; green; meat; marinated; assorted flavoured; drained; ready to eat; Sealord,30.0,158.0,584,0.0973,6.0,1.5e3,0.23,0.0,59.0,0.0,95.0,500.0,0.0059,21.0,0.13,107.33,4.59,0.0,g,1.05,0.08,0.0,0.0,0.0,0.0,0.7010000000000001,0.035,0.76,0.0,19,13.23,0.514,0.121
38.7,Scallop; raw,38.3,193.0,810,0.037,0.28,899.0,0.13,0.06,259.0,0.0,245.0,300.0,0.00134,21.2,0.36,80.3,4.46,0.0054,g,0.84,0.11,0.13,1.2,0.0,0.0033,0.0,0.0231,1.94,0.185,8,14.94,0.37,0.082
24.34,Oyster; Pacific; flesh; raw,87.6,164.0,727,0.0099,5.01,1.6e3,0.27,0.08,191.0,0.0,97.0,220.0,0.017,72.1,0.04,86.02,4.2,0.004,g,0.85,4.21,0.3,12.0,0.0,0.01,0.0,0.053,15.0,0.0,12,13.13,1.0,1.2
11.8,Celery; stem vegetable; stalk; stir fried; green; American Green,10.41,30.09,54900,0.0,0.14,549.0,0.05,0.01,426.32,0.03834,0.83,1.0,0.0,47.65,0.07,31.73,0.18,0.0,ea,0.78,0.02,0.31,0.75,0.0,0.0,0.0,0.0,0.08,0.0,75,0.68,1.0,0.10658
7.88,Chicken; mince; pan fried; with no added fat; premium; Tegal,34.62,305.61,170,0.0,0.46,1699.0,0.24,0.16,445.68,0.0,0.24,1.0,2.3e-4,6.35,1.06,185.67,15.86,0.0,kg,0.97,0.03,0.0,0.0,0.0,0.0,0.005,0.03343,1.05,0.0,66,34.65,1.0,0.01592
1314.29,Herb; coriander; leaves; dried,697.0,483.0,4988,0.274,42.7,399.0,1.51,1.26,4490.0,0.0,2.3,8.0,0.0,1250.0,1.21,297.55,14.3,0.0,g,1.03,1.79,0.0,569.0,0.0,0.0,0.0,0.0293,4.72,0.0,27,21.94,1.0,6.36
105.21,Broccoli; inflorescent vegetable; raw,18.0,78.0,25571,0.049,0.6,179.0,0.19,0.08,350.0,0.0,0.18,1.0,0.0,33.0,0.33,26.63,1.2,0.0,ea,0.98,0.05,0.0,99.0,0.0,0.0,0.0,0.005,0.47,0.0,71,3.78,0.7,0.22
0.0,Spice; turmeric; ground,193.0,268.0,1071,0.039,41.4,300.0,0.23,0.15,2530.0,0.0,2.3,28.0,0.0,183.0,1.8,280.13,6.44,0.0,g,3.15,0.6,0.0,25.9,0.0,0.0,0.0,0.0045,4.35,0.0,51,7.81,1.0,7.83
221.85,Egg; chicken; white & yolk; fried in butter,14.0,230.0,5833,0.0875,2.1,700.0,0.38,0.07,160.0,0.0,55.0,12.0,0.00139,65.0,0.03,210.95,4.5,0.0,ea,1.52,0.06,0.0,0.0,0.011,0.0,0.0,0.027,1.3,0.0,22,15.0,1.0,0.029
0.92,Seed; pumpkin; roasted; salt added,534.0,1170.0,249,0.057,14.9,249.0,0.32,0.2,806.0,0.0,9.0,100.0,0.0,43.0,0.09,555.22,11.38,0.0,g,2.0,1.38,0.04,0.3,0.0,0.082,0.0,0.006,7.44,0.0,28,32.91,1.0,1.55
90.0,Salmon; chum; canned; drained,30.0,354.0,152,0.02,0.7,259.0,0.16,0.02,300.0,0.0,34.9,210.0,0.0044,249.0,0.38,137.2,11.0,0.0,g,1.5,0.1,0.56,0.0,0.0,0.005,0.0,0.075,1.0,0.0,57,21.63,0.81,0.02
19.21,Spice; cinnamon; ground,55.6,61.4,625,0.006,38.1,200.0,0.14,0.08,500.0,0.0,0.1,32.0,0.0,1230.0,0.25,146.15,1.61,0.0,g,3.36,0.23,0.0,28.5,0.0,0.0,0.0,0.015,1.97,0.0,6,3.89,1.0,17.466
5.85,Powder; mustard,260.0,180.0,612,0.162,10.9,349.0,0.0,1.3,940.0,0.0,4.5,57.0,0.0,330.0,0.0,449.8,11.4,0.0,g,5.74,0.2,0.0,0.0,0.0,0.0,0.0,0.1336,6.5,0.0,58,28.88,1.0,1.9
1.5,Nut; brazilnut; raw,410.0,590.0,697,0.022,2.8,549.0,0.12,1.0,760.0,0.0,20.0,175.0,0.0,180.0,0.17,676.82,4.31,0.0,g,7.18,1.1,0.23,0.7,0.0,0.011,0.0,1.27,4.2,0.0,29,11.96,0.45,0.761
1442.05,Seaweed; sea vegetable; sheet; toasted; Nori,360.0,610.0,863,0.0117,20.0,259.0,2.35,0.17,2.8e3,0.0,3.0e3,30.0,0.067,240.0,1.38,229.4,17.1,0.0,g,1.95,1.3,0.0,134.0,0.0,0.0,0.755,0.02,4.4,0.0,16,38.75,1.0,3.9
0.0,Coconut; desiccated,90.0,160.0,80,0.0091,3.6,399.0,0.04,0.06,750.0,0.0,3.0,500.0,0.0,22.0,0.3,604.66,1.85,0.0,g,1.26,0.55,0.81,0.0,0.0,0.087,0.0,0.0032,1.7,0.0,4,5.57,1.0,2.28
4.01,Bean; seed vegetable; seed; dry; Mung,150.0,360.0,42,0.216,6.0,1050.0,0.26,0.36,1250.0,0.0,0.13,1.0,0.0,89.0,0.38,271.95,5.9,0.0,kg,1.97,0.47,1.91,5.0,0.0,0.001,0.0,0.011,2.7,0.0,45,26.81,1.0,0.8
21013.7,Ox; offal; liver; fast-fried,21.0,397.0,85,0.59259,7.17,369.0,3.04,0.38,336.0,0.0,4.11,440.0,0.096,4.2,0.45,135.35,20.52,0.0,g,1.28,5.73,9.8,0.0,0.0,0.0,0.267,0.01621,3.4,0.0,15,23.3,0.981,0.328
825.82,Watercress; leafy vegetable; raw,13.2,33.3,1927,0.28,2.24,395.0,0.04,0.12,180.0,0.0,2.7,50.0,0.0,52.7,0.19,15.66,0.77,0.0,g,1.3,0.01,0.08,75.0,0.0,3.2e-4,0.0,1.9e-4,0.27,0.0,18,2.75,0.41,0.504
2.33,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),12.28,25.2,83,0.03064,0.21,599.0,0.07,0.0,315.0,0.00607,0.0,1.0,8.0e-5,17.32,0.08,56.29,0.57,0.0,kg,1.42,0.15,0.12,161.33,0.0,0.0,0.0,4.4e-4,0.08,0.0,68,1.02,0.7228,0.0476
5.76,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),16.22,28.6,66,0.03842,0.22,499.0,0.11,0.0,328.0,0.01457,0.0,1.0,0.0002,27.0,0.18,56.25,0.63,0.0,kg,1.65,0.15,0.22,149.97,0.0,0.0006,0.0,0.0008,0.12,0.0,69,1.27,0.7524,0.1066
107.72,Apricot; dried,57.0,120.0,180,0.011,3.1,899.0,0.2,0.01,1510.0,0.0,2.2,500.0,0.0,67.0,0.14,202.65,3.09,0.0,g,2.4,0.46,0.56,1.0,0.0,0.0045,0.0,6.8e-4,0.8,0.0,52,4.31,1.0,0.38
1.17,Seed; sesame butter; Tahini,320.0,730.0,213,0.099,5.1,799.0,0.25,0.95,190.0,0.0,2.3,375.0,0.0,330.0,0.76,633.44,9.8,0.0,g,2.57,1.7,2.17,0.0,0.0,0.011,0.0,0.0114,5.2,0.0,47,20.41,1.0,1.1
4.18,Nut; pecan; dried; raw,128.0,291.0,434,0.022,2.13,499.0,0.13,0.85,392.0,0.0,2.3,115.0,0.0,36.0,0.19,694.55,1.77,0.0,g,6.64,1.18,1.71,2.0,0.0,0.0,0.0,0.0053,5.47,0.0,59,7.74,1.0,4.51
8.13,Avocado; flesh; raw; combined varieties,32.0,52.0,22576,0.081,0.77,149.0,0.12,0.02,560.0,0.0,0.1,1.0,0.0,11.0,0.92,249.92,1.6,0.0,ea,1.91,0.26,0.0,7.3,0.0,0.0,0.0,0.001,0.72,0.0,67,2.0,0.66,0.21
127.25,Seed; cumin,366.0,499.0,1425,0.01,66.4,399.0,0.33,0.63,1790.0,0.0,13.6,28.0,0.0,931.0,0.34,376.08,7.55,0.0,g,3.33,0.87,0.0,7.71,0.0,0.0,0.0,0.0052,4.8,0.0,25,17.81,1.0,3.33
0.84,Peanut butter; smooth & crunchy salt added; no sugar added,130.0,320.0,94,0.081,1.4,470.0,0.14,0.0,480.0,0.0,3.0,500.0,0.0,32.0,0.05,571.66,22.75,0.0,g,3.85,0.48,1.5,0.0,0.018,0.098,0.0,0.01095,1.8,0.0,3,28.81,1.0,1.3
313.96,Herb; rosemary; dried,220.0,70.0,1195,0.307,29.3,239.0,0.32,0.51,955.0,0.0,2.3,20.0,0.0,1280.0,0.38,342.08,3.5,0.0,g,9.15,0.55,1.61,61.2,0.0,0.0021,0.0,0.0046,3.23,0.0,17,4.88,1.0,1.87
1158.81,Apricot; flesh & skin; raw; Moorpark,9.0,22.0,74,0.0086,0.48,699.0,0.08,0.03,240.0,0.0,0.13,1.0,0.0,16.0,0.11,44.3,0.9,0.0,kg,1.45,0.14,0.27,7.8,0.0,0.0019,0.0,1.7e-4,0.29,0.0,63,0.63,0.94,0.11
162.83,Tomato; paste; canned; composite,41.0,70.0,104,0.0,0.99,290.0,0.24,0.14,900.0,0.0114,2.0,280.0,0.0,35.0,2.09,60.75,2.49,0.0,g,3.48,0.24,0.0,8.3,0.0,0.0,0.001,0.0009,0.38,0.0,65,3.56,1.0,0.22
587.17,Herb; dill weed; dried,451.0,543.0,4000,0.0,48.8,400.0,0.28,0.42,3310.0,0.0,2.3,10.0,0.0,1780.0,1.46,283.68,6.15,0.0,g,9.27,0.49,0.0,50.0,0.0,0.0,0.0,0.0,3.3,0.0,50,20.0,1.0,3.95
