mercury,price,calories,vitamin_b12,iodine,vitamin_k1,calcium,zinc,name,chromium,price_100g,vitamin_b6,selenium,molybdenum,magnesium,iron,pantothenic_acid,edible_portion,manganese,phosphorus,riboflavin,vitamin_c,folate_dfe,copper,potassium,niacin_ne,vitamin_a_rae,biotin,vit_e_a_tocopherol,quantity_unit,quantity,protein,o3_epa_dha_dpa,thiamin
0.0,139.0,593.26,0.0,4.2,0.0,70.0,5.29,Seed; sunflower; dry roasted; no salt added,0.0,139,0.8,0.051,0.0,129.0,3.8,7.04,1.0,2.11,1160.0,0.25,1.4,0.2374,1.83,850.0,12.14,2.51,0.0,39.1,g,100.0,19.38,0.0,0.11
0.0,1199.0,61.12,0.0,0.2,0.0,8.1,0.84,Mushroom; fungus; fried in butter,0.012,120,0.14,0.053,0.0034,15.0,0.53,2.82,1.0,0.068,120.0,0.28,0.7,0.027,0.49,430.0,2.82,174.2,0.008,0.4,kg,1.0,3.54,0.0,0.0
0.0,1050.0,271.95,0.0,0.13,0.0,89.0,2.7,Bean; seed vegetable; seed; dry; Mung,0.0,42,0.38,0.011,0.0,150.0,6.0,1.91,1.0,0.8,360.0,0.26,5.0,0.216,0.47,1250.0,5.9,4.01,0.001,1.97,kg,1.0,26.81,0.0,0.36
2.4e-4,1.3e3,280.16,0.0006,1.06,0.0,12.9,3.87,Pork; bacon; separable lean; dry fried,0.0134,163,0.23,0.0576,0.00404,42.2,2.06,1.5,1.0,0.03183,834.0,0.16,0.0,0.002,0.14,748.0,11.6,0.0,0.005,0.0,g,800.0,41.38,0.0,0.56
0.0,799.0,633.44,0.0,2.3,0.0,330.0,5.2,Seed; sesame butter; Tahini,0.0,213,0.76,0.0114,0.0,320.0,5.1,2.17,1.0,1.1,730.0,0.25,0.0,0.099,1.7,190.0,9.8,1.17,0.011,2.57,g,375.0,20.41,0.0,0.95
4.9e-4,800.0,361.59,0.0036,4.6,0.0,990.0,3.8,Cheese; Edam; Anchor,0.0041,80,0.13,0.011,0.008,30.0,0.05,0.0,1.0,0.024,600.0,0.56,0.0,0.0282,0.04,71.0,5.78,311.94,0.0,0.67,kg,1.0,28.07,0.0,0.06
0.0,120.0,218.15,0.014,23.0,0.0,550.0,3.0,Sardines; canned; drained,0.0,116,0.48,0.034,0.0,52.0,2.9,0.5,0.83,0.112,520.0,0.36,1.0,0.008,0.19,430.0,12.77,68.0,0.005,0.3,g,125.0,23.69,0.0,0.04
0.0,400.0,283.68,0.0,2.3,0.0,1780.0,3.3,Herb; dill weed; dried,0.0,4000,1.46,0.0,0.0,451.0,48.8,0.0,1.0,3.95,543.0,0.28,50.0,0.0,0.49,3310.0,6.15,587.17,0.0,9.27,g,10.0,20.0,0.0,0.42
0.0,300.0,280.13,0.0,2.3,0.0,183.0,4.35,Spice; turmeric; ground,0.0,1071,1.8,0.0045,0.0,193.0,41.4,0.0,1.0,7.83,268.0,0.23,25.9,0.039,0.6,2530.0,6.44,0.0,0.0,3.15,g,28.0,7.81,0.0,0.15
0.0,899.0,202.65,0.0,2.2,0.0,67.0,0.8,Apricot; dried,0.0,180,0.14,6.8e-4,0.0,57.0,3.1,0.56,1.0,0.38,120.0,0.2,1.0,0.011,0.46,1510.0,3.09,107.72,0.0045,2.4,g,500.0,4.31,0.0,0.01
0.0,550.0,63.41,5.8e-4,8.9,0.0,167.0,0.6,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,0.0,55,0.06,0.0017,0.0,14.4,0.0,0.3,1.0,0.0047,124.0,1.31,0.0,0.0,0.0,220.0,1.29,38.89,0.0,0.0,kg,1.0,5.68,0.006,0.02
0.0,900.0,548.22,0.0,2.0,0.0,264.0,3.08,Nut; almond; raw; dried; unblanched,0.0,200,0.14,0.0025,0.0,268.0,3.72,0.47,1.0,2.285,484.0,1.01,0.0,0.05,1.0,705.0,6.95,0.17,0.0,26.34,g,450.0,21.22,0.0,0.21
0.0,449.0,160.91,0.00918,1.66,0.0,5.48,2.66,Lamb; offal; heart; simmered & drained,0.0,104,0.13,0.0203,0.0,21.92,4.94,1.83,0.723,0.02774,237.17,0.84,0.0,0.0,0.64,187.1,10.59,3.55,0.0,0.63,g,600.0,26.26,0.136,0.23
0.0,199.0,152.65,0.015,0.93,0.0,13.0,4.7,Pork; kidney; core removed; stewed; salt added,0.0,89,0.28,0.25,0.0,21.0,6.4,2.4,0.56,0.07,330.0,2.1,11.0,0.043,0.84,190.0,11.35,140.0,0.053,0.36,g,400.0,24.44,0.0,0.19
0.0,259.0,137.2,0.0044,34.9,0.0,249.0,1.0,Salmon; chum; canned; drained,0.0,152,0.38,0.075,0.0,30.0,0.7,0.56,0.81,0.02,354.0,0.16,0.0,0.02,0.1,300.0,11.0,90.0,0.005,1.5,g,210.0,21.63,0.0,0.02
0.0,349.0,449.8,0.0,4.5,0.0,330.0,6.5,Powder; mustard,0.0,612,0.0,0.1336,0.0,260.0,10.9,0.0,1.0,1.9,180.0,0.0,0.0,0.162,0.2,940.0,11.4,5.85,0.0,5.74,g,57.0,28.88,0.0,1.3
0.0,499.0,694.55,0.0,2.3,0.0,36.0,5.47,Nut; pecan; dried; raw,0.0,434,0.19,0.0053,0.0,128.0,2.13,1.71,1.0,4.51,291.0,0.13,2.0,0.022,1.18,392.0,1.77,4.18,0.0,6.64,g,115.0,7.74,0.0,0.85
0.0,2499.0,160.65,5.1e-4,0.93,0.0,7.0,3.36,Pork; schnitzel; lean; fried,0.0,250,0.16,0.0066,0.0,36.0,1.98,1.03,1.0,0.026,349.0,0.07,0.8,0.0013,0.09,572.0,11.11,0.0,0.0037,0.2,kg,1.0,31.5,0.0,0.81
0.0,239.0,329.83,0.0,6.0,0.0,148.0,2.48,Spice; pepper; red or cayenne,0.0,598,2.45,0.004,0.0,152.0,7.8,0.0,1.0,2.0,293.0,0.92,76.4,0.106,0.37,2010.0,10.72,4175.0,0.0,29.83,g,40.0,12.0,0.0,0.33
