magnesium,iodine,biotin,edible_portion,mercury,vitamin_k1,chromium,potassium,niacin_ne,name,zinc,price,iron,copper,vit_e_a_tocopherol,phosphorus,vitamin_c,thiamin,selenium,protein,calories,o3_epa_dha_dpa,riboflavin,quantity_unit,quantity,folate_dfe,manganese,calcium,vitamin_b6,vitamin_b12,price_100g,molybdenum,vitamin_a_rae,pantothenic_acid
64.9,17.0,0.076,1.0,0.0,0.0,0.021,900.0,6.7,Nut; hazelnut; raw,2.1,449.0,1.95,1.29,17.4,280.0,1.0,0.48,0.076,14.79,618.38,0.0,0.08,g,125.0,0.113,7.69,179.0,0.16,0.0,359,0.0605,2.67,1.86
24.36,2.5,0.0,0.914,0.0,0.0,0.0,102.15,6.17,Beef; tripe; simmered,2.39,1299.0,3.72,0.11,0.51,168.45,0.0,0.02,0.00428,19.0,102.82,0.038000000000000006,0.1,g,650.0,0.00504,6.066,157.63,0.01,0.00229,219,0.0,5.87,0.23
115.0,0.0,0.0,1.0,0.0,0.0,0.0,542.0,7.8,Tempeh; fermented soy beans; fried in sunflower oil,1.7,600.0,9.2,0.78,0.0,200.0,0.0,0.09,0.0,23.18,445.73,0.0,0.1,g,250.0,0.029,1.94,74.0,0.16,0.0,240,0.0,22.38,0.0
17.0,0.13,0.0003,0.53,0.0,0.0,0.0,250.0,0.3,Pineapple; flesh; raw,0.1,299.0,0.4,0.08,0.1,8.0,25.0,0.08,0.0008,0.5,49.4,0.0,0.02,ea,1.0,0.005,1.92,12.0,0.09,0.0,62,0.0,10.02,0.16
18.7,0.44,0.001,1.0,0.0,0.0,0.0,144.0,1.1,Sprout; bean; seed; germinated; raw; mung,0.33,179.0,0.4,0.08,0.06,50.5,0.0,0.11,0.00136,2.88,22.83,0.0,0.12,g,200.0,0.061,0.30058,18.6,0.08,0.0,90,0.0234,2.0,0.0
29.0,3.0,0.0,1.0,0.0001,0.0,0.002,280.0,1.17,Baked beans; in tomato sauce; canned; Watties,0.55,80.0,1.2,0.17,0.0,90.0,0.0,0.01,0.0028,5.0,75.6,0.0,0.0,g,420.0,0.0375,0.33,35.0,0.12,0.0,19,0.022,13.36,0.0
8.66,0.31,0.0012,1.0,0.0,0.0,4.5e-4,15.9,0.99,Rice; white; polished; boiled,1.23,289.0,0.13,0.1,0.0,33.2,0.0,0.0,0.0,3.21,118.01,0.0,0.03,kg,1.0,0.003,0.722,3.9,0.02,0.0,10,0.02,0.0,0.23
25.0,12.8,0.0,0.664,0.0101,0.0,0.0,220.0,18.49,Tuna; in spring water; plain; canned; salt added; drained; composite,0.8,295.0,1.36,0.06,0.27,210.0,0.0,0.0,0.088,26.63,115.5,0.29600000000000004,0.11,g,185.0,0.0,0.009,6.1,1.7,0.0042,240,0.0,0.0,0.0
185.0,3.0,0.0,1.0,0.0,0.0,0.0,2340.0,18.4,Spice; paprika,4.06,239.0,23.6,0.61,29.83,345.0,71.1,0.65,0.0,14.73,315.11,0.0,1.74,g,40.0,0.049,0.843,177.0,2.06,0.0,598,0.0,4935.27,1.78
30.0,0.8,0.0,1.0,0.0001,0.0,0.001,370.0,15.9,Chicken; deli cooked; breast; flesh; ready to eat; composite,0.85,1099.0,0.33,0.03,0.42,300.0,0.0,0.2,0.03033,28.75,133.9,0.004,0.15,kg,1.0,0.02,0.013,6.9,0.29,0.0003,110,0.0072,34.8,0.0
129.0,4.2,0.0,1.0,0.0,0.0,0.0,850.0,12.14,Seed; sunflower; dry roasted; no salt added,5.29,139.0,3.8,1.83,39.1,1160.0,1.4,0.11,0.051,19.38,593.26,0.0,0.25,g,100.0,0.2374,2.11,70.0,0.8,0.0,139,0.0,2.51,7.04
15.0,0.2,0.008,1.0,0.0,0.0,0.012,430.0,2.82,Mushroom; fungus; fried in butter,0.84,1199.0,0.53,0.49,0.4,120.0,0.7,0.0,0.053,3.54,61.12,0.0,0.28,kg,1.0,0.027,0.068,8.1,0.14,0.0,120,0.0034,174.2,2.82
150.0,0.13,0.001,1.0,0.0,0.0,0.0,1250.0,5.9,Bean; seed vegetable; seed; dry; Mung,2.7,1050.0,6.0,0.47,1.97,360.0,5.0,0.36,0.011,26.81,271.95,0.0,0.26,kg,1.0,0.216,0.8,89.0,0.38,0.0,42,0.0,4.01,1.91
42.2,1.06,0.005,1.0,2.4e-4,0.0,0.0134,748.0,11.6,Pork; bacon; separable lean; dry fried,3.87,1.3e3,2.06,0.14,0.0,834.0,0.0,0.56,0.0576,41.38,280.16,0.0,0.16,g,800.0,0.002,0.03183,12.9,0.23,0.0006,163,0.00404,0.0,1.5
320.0,2.3,0.011,1.0,0.0,0.0,0.0,190.0,9.8,Seed; sesame butter; Tahini,5.2,799.0,5.1,1.7,2.57,730.0,0.0,0.95,0.0114,20.41,633.44,0.0,0.25,g,375.0,0.099,1.1,330.0,0.76,0.0,213,0.0,1.17,2.17
30.0,4.6,0.0,1.0,4.9e-4,0.0,0.0041,71.0,5.78,Cheese; Edam; Anchor,3.8,800.0,0.05,0.04,0.67,600.0,0.0,0.06,0.011,28.07,361.59,0.0,0.56,kg,1.0,0.0282,0.024,990.0,0.13,0.0036,80,0.008,311.94,0.0
52.0,23.0,0.005,0.83,0.0,0.0,0.0,430.0,12.77,Sardines; canned; drained,3.0,120.0,2.9,0.19,0.3,520.0,1.0,0.04,0.034,23.69,218.15,0.0,0.36,g,125.0,0.008,0.112,550.0,0.48,0.014,116,0.0,68.0,0.5
451.0,2.3,0.0,1.0,0.0,0.0,0.0,3310.0,6.15,Herb; dill weed; dried,3.3,400.0,48.8,0.49,9.27,543.0,50.0,0.42,0.0,20.0,283.68,0.0,0.28,g,10.0,0.0,3.95,1780.0,1.46,0.0,4000,0.0,587.17,0.0
193.0,2.3,0.0,1.0,0.0,0.0,0.0,2530.0,6.44,Spice; turmeric; ground,4.35,300.0,41.4,0.6,3.15,268.0,25.9,0.15,0.0045,7.81,280.13,0.0,0.23,g,28.0,0.039,7.83,183.0,1.8,0.0,1071,0.0,0.0,0.0
57.0,2.2,0.0045,1.0,0.0,0.0,0.0,1510.0,3.09,Apricot; dried,0.8,899.0,3.1,0.46,2.4,120.0,1.0,0.01,6.8e-4,4.31,202.65,0.0,0.2,g,500.0,0.011,0.38,67.0,0.14,0.0,180,0.0,107.72,0.56
