vitamin_a_rae,folate_dfe,phosphorus,iron,niacin_ne,mercury,name,vitamin_c,edible_portion,vit_e_a_tocopherol,pantothenic_acid,molybdenum,chromium,riboflavin,copper,biotin,price,potassium,iodine,o3_epa_dha_dpa,vitamin_k1,protein,quantity_unit,calories,vitamin_b6,vitamin_b12,zinc,thiamin,calcium,magnesium,manganese,quantity,price_100g,selenium
162.83,0.0,70.0,0.99,2.49,0.0,Tomato; paste; canned; composite,8.3,1.0,3.48,0.0,0.0,0.0,0.24,0.24,0.0,290.0,900.0,2.0,0.001,0.0114,3.56,g,60.75,2.09,0.0,0.38,0.14,35.0,41.0,0.22,280.0,104,0.0009
7.88,0.0,305.61,0.46,15.86,0.0,Chicken; mince; pan fried; with no added fat; premium; Tegal,0.0,1.0,0.97,0.0,0.0,0.0,0.24,0.03,0.0,1699.0,445.68,0.24,0.005,0.0,34.65,kg,185.67,1.06,2.3e-4,1.05,0.16,6.35,34.62,0.01592,1.0,170,0.03343
8.13,0.081,52.0,0.77,1.6,0.0,Avocado; flesh; raw; combined varieties,7.3,0.66,1.91,0.0,0.0,0.0,0.12,0.26,0.0,149.0,560.0,0.1,0.0,0.0,2.0,ea,249.92,0.92,0.0,0.72,0.02,11.0,32.0,0.21,1.0,133,0.001
2.33,0.03064,25.2,0.21,0.57,0.0,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),161.33,0.7228,1.42,0.12,0.0,0.0,0.07,0.15,0.0,599.0,315.0,0.0,0.0,0.00607,1.02,kg,56.29,0.08,8.0e-5,0.08,0.0,17.32,12.28,0.0476,1.0,83,4.4e-4
5.76,0.03842,28.6,0.22,0.63,0.0,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),149.97,0.7524,1.65,0.22,0.0,0.0,0.11,0.15,0.0006,499.0,328.0,0.0,0.0,0.01457,1.27,kg,56.25,0.18,0.0002,0.12,0.0,27.0,16.22,0.1066,1.0,66,0.0008
155.31,0.085,24.0,0.34,1.05,0.0,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,144.0,0.8831,0.01,0.0,0.0,0.0,0.14,0.04,0.0,189.0,210.0,6.0,0.0,0.0,0.94,ea,25.55,0.56,0.0,0.2,0.0,6.3,9.8,0.12,1.0,289,0.0
105.21,0.049,78.0,0.6,1.2,0.0,Broccoli; inflorescent vegetable; raw,99.0,0.7,0.98,0.0,0.0,0.0,0.19,0.05,0.0,179.0,350.0,0.18,0.0,0.0,3.78,ea,26.63,0.33,0.0,0.47,0.08,33.0,18.0,0.22,1.0,170,0.005
0.0,0.0,1.0,0.38,0.0,0.0,Oil; olive,0.0,1.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,699.0,0.0,0.5,0.0,0.0,0.0,ml,897.2,0.0,0.0,0.04,0.0,0.18,0.0,0.0,250.0,280,0.0
481.63,0.157,37.0,1.11,0.73,0.0,Salad; leafy vegetable; raw; Mesclun; composite,4.4,1.0,0.0,0.0,0.0,0.0,0.25,0.06,0.0,399.0,400.0,8.4,0.001,0.1361,2.5,g,12.7,0.31,0.0,0.37,0.0,150.0,31.0,0.63,130.0,307,0.0
403.14,0.199,47.0,4.4,1.01,0.0,Spinach; leafy vegetable; raw; English,2.9,0.8692,0.0,0.0,0.0,0.0,0.24,0.07,0.0,399.0,710.0,11.4,0.001,0.1148,2.5,g,13.6,0.16,0.0,0.62,0.0,69.0,74.0,0.74,400.0,115,0.0
11.8,0.0,30.09,0.14,0.18,0.0,Celery; stem vegetable; stalk; stir fried; green; American Green,0.75,1.0,0.78,0.31,0.0,0.0,0.05,0.02,0.0,549.0,426.32,0.83,0.0,0.03834,0.68,ea,31.73,0.07,0.0,0.08,0.01,47.65,10.41,0.10658,1.0,153,0.0
5.85,0.029,190.0,0.9,1.9,0.0,Crabmeat; in brine; canned,0.0,0.44,2.25,0.24,0.0,0.0,0.0,0.79,0.0034,589.0,22.0,39.3,0.0,0.0,11.13,g,52.6,0.1,3.1e-4,8.1,0.0,153.0,30.0,0.19,170.0,787,0.045
12.16,0.00594,156.96,2.71,7.03,0.0,Beef; forequarter chuck steak; separable lean; braised,0.0,0.91,0.9,0.0,0.0,0.0,0.14,0.1,0.0,1087.0,188.52,1.25,0.072,0.0,32.08,kg,208.31,0.15,0.00197,7.81,0.03,5.85,19.14,0.01038,1.0,119,0.00208
1.17,0.0141,28.0,0.33,1.49,0.0,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,9.0,1.0,0.06,0.0,0.0,0.0,0.02,0.09,0.0,299.0,260.0,0.28,0.0,0.0,1.41,kg,62.68,0.16,0.0,0.24,0.02,2.7,14.0,0.13,1.0,30,4.7e-4
