mercury,chromium,copper,price_100g,pantothenic_acid,folate_dfe,iodine,name,potassium,magnesium,calcium,phosphorus,zinc,vitamin_b12,vitamin_k1,biotin,o3_epa_dha_dpa,manganese,vitamin_c,quantity,edible_portion,calories,iron,vitamin_a_rae,niacin_ne,vit_e_a_tocopherol,protein,vitamin_b6,molybdenum,price,quantity_unit,selenium,thiamin,riboflavin
0.0,0.0,0.47,42,1.91,0.216,0.13,Bean; seed vegetable; seed; dry; Mung,1250.0,150.0,89.0,360.0,2.7,0.0,0.0,0.001,0.0,0.8,5.0,1.0,1.0,271.95,6.0,4.01,5.9,1.97,26.81,0.38,0.0,1050.0,kg,0.011,0.36,0.26
2.4e-4,0.0134,0.14,163,1.5,0.002,1.06,Pork; bacon; separable lean; dry fried,748.0,42.2,12.9,834.0,3.87,0.0006,0.0,0.005,0.0,0.03183,0.0,800.0,1.0,280.16,2.06,0.0,11.6,0.0,41.38,0.23,0.00404,1.3e3,g,0.0576,0.56,0.16
0.0,0.0,1.7,213,2.17,0.099,2.3,Seed; sesame butter; Tahini,190.0,320.0,330.0,730.0,5.2,0.0,0.0,0.011,0.0,1.1,0.0,375.0,1.0,633.44,5.1,1.17,9.8,2.57,20.41,0.76,0.0,799.0,g,0.0114,0.95,0.25
4.9e-4,0.0041,0.04,80,0.0,0.0282,4.6,Cheese; Edam; Anchor,71.0,30.0,990.0,600.0,3.8,0.0036,0.0,0.0,0.0,0.024,0.0,1.0,1.0,361.59,0.05,311.94,5.78,0.67,28.07,0.13,0.008,800.0,kg,0.011,0.06,0.56
0.0,0.0,0.19,116,0.5,0.008,23.0,Sardines; canned; drained,430.0,52.0,550.0,520.0,3.0,0.014,0.0,0.005,0.0,0.112,1.0,125.0,0.83,218.15,2.9,68.0,12.77,0.3,23.69,0.48,0.0,120.0,g,0.034,0.04,0.36
0.0,0.0,0.49,4000,0.0,0.0,2.3,Herb; dill weed; dried,3310.0,451.0,1780.0,543.0,3.3,0.0,0.0,0.0,0.0,3.95,50.0,10.0,1.0,283.68,48.8,587.17,6.15,9.27,20.0,1.46,0.0,400.0,g,0.0,0.42,0.28
0.0,0.0,0.6,1071,0.0,0.039,2.3,Spice; turmeric; ground,2530.0,193.0,183.0,268.0,4.35,0.0,0.0,0.0,0.0,7.83,25.9,28.0,1.0,280.13,41.4,0.0,6.44,3.15,7.81,1.8,0.0,300.0,g,0.0045,0.15,0.23
0.0,0.0,0.46,180,0.56,0.011,2.2,Apricot; dried,1510.0,57.0,67.0,120.0,0.8,0.0,0.0,0.0045,0.0,0.38,1.0,500.0,1.0,202.65,3.1,107.72,3.09,2.4,4.31,0.14,0.0,899.0,g,6.8e-4,0.01,0.2
0.0,0.0,0.0,55,0.3,0.0,8.9,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,220.0,14.4,167.0,124.0,0.6,5.8e-4,0.0,0.0,0.006,0.0047,0.0,1.0,1.0,63.41,0.0,38.89,1.29,0.0,5.68,0.06,0.0,550.0,kg,0.0017,0.02,1.31
0.0,0.0,1.0,200,0.47,0.05,2.0,Nut; almond; raw; dried; unblanched,705.0,268.0,264.0,484.0,3.08,0.0,0.0,0.0,0.0,2.285,0.0,450.0,1.0,548.22,3.72,0.17,6.95,26.34,21.22,0.14,0.0,900.0,g,0.0025,0.21,1.01
