quantity,riboflavin,chromium,o3_epa_dha_dpa,name,molybdenum,vitamin_k1,potassium,manganese,iodine,niacin_ne,quantity_unit,vitamin_c,mercury,copper,vitamin_b6,calories,vitamin_b12,price,biotin,thiamin,iron,price_100g,folate_dfe,vit_e_a_tocopherol,zinc,pantothenic_acid,calcium,protein,id,magnesium,edible_portion,phosphorus,selenium,vitamin_a_rae
600.0,0.84,0.0,0.136,Lamb; offal; heart; simmered & drained,0.0,0.0,187.1,0.02774,1.66,10.59,g,0.0,0.0,0.64,0.13,160.91,0.00918,449.0,0.0,0.23,4.94,104,0.0,0.63,2.66,1.83,5.48,26.26,55,21.92,0.723,237.17,0.0203,3.55
1.0,0.56,0.0041,0.0,Cheese; Edam; Anchor,0.008,0.0,71.0,0.024,4.6,5.78,kg,0.0,4.9e-4,0.04,0.13,361.59,0.0036,800.0,0.0,0.06,0.05,80,0.0282,0.67,3.8,0.0,990.0,28.07,48,30.0,1.0,600.0,0.011,311.94
250.0,0.19,0.0,0.0,Nut; cashew; raw,0.0,0.0341,550.0,1.51,11.0,7.31,g,0.0,0.0,1.9,0.35,578.05,0.0,699.0,0.021,0.64,5.0,280,0.025,0.73,5.5,1.9,34.0,17.01,14,250.0,1.0,530.0,0.033,1.0
1.0,0.05,0.0,0.0,Celery; stem vegetable; stalk; stir fried; green; American Green,0.0,0.03834,426.32,0.10658,0.83,0.18,ea,0.75,0.0,0.02,0.07,31.73,0.0,549.0,0.0,0.01,0.14,54900,0.0,0.78,0.08,0.31,47.65,0.68,75,10.41,1.0,30.09,0.0,11.8
300.0,0.13,0.185,0.0,Scallop; raw,0.0,0.0,259.0,0.082,245.0,4.46,g,1.2,0.0054,0.11,0.36,80.3,0.00134,899.0,0.0033,0.06,0.28,810,0.037,0.84,1.94,0.13,21.2,14.94,8,38.3,0.37,193.0,0.0231,38.7
220.0,0.27,0.0,0.0,Oyster; Pacific; flesh; raw,0.0,0.0,191.0,1.2,97.0,4.2,g,12.0,0.004,4.21,0.04,86.02,0.017,1.6e3,0.01,0.08,5.01,727,0.0099,0.85,15.0,0.3,72.1,13.13,12,87.6,1.0,164.0,0.053,24.34
1.0,0.14,0.0,0.07200000000000001,Beef; forequarter chuck steak; separable lean; braised,0.0,0.0,188.52,0.01038,1.25,7.03,kg,0.0,0.0,0.1,0.15,208.31,0.00197,1087.0,0.0,0.03,2.71,119,0.00594,0.9,7.81,0.0,5.85,32.08,77,19.14,0.91,156.96,0.00208,12.16
1.0,0.24,0.0,0.005,Chicken; mince; pan fried; with no added fat; premium; Tegal,0.0,0.0,445.68,0.01592,0.24,15.86,kg,0.0,0.0,0.03,1.06,185.67,2.3e-4,1699.0,0.0,0.16,0.46,170,0.0,0.97,1.05,0.0,6.35,34.65,66,34.62,1.0,305.61,0.03343,7.88
1.0,0.19,0.0,0.0,Broccoli; inflorescent vegetable; raw,0.0,0.0,350.0,0.22,0.18,1.2,ea,99.0,0.0,0.05,0.33,26.63,0.0,179.0,0.0,0.08,0.6,25571,0.049,0.98,0.47,0.0,33.0,3.78,71,18.0,0.7,78.0,0.005,105.21
8.0,1.51,0.0,0.0,Herb; coriander; leaves; dried,0.0,0.0,4490.0,6.36,2.3,14.3,g,569.0,0.0,1.79,1.21,297.55,0.0,399.0,0.0,1.26,42.7,4988,0.274,1.03,4.72,0.0,1250.0,21.94,27,697.0,1.0,483.0,0.0293,1314.29
500.0,0.23,0.0,0.7010000000000001,Mussel; green; meat; marinated; assorted flavoured; drained; ready to eat; Sealord,0.0,0.0,59.0,0.121,95.0,4.59,g,0.0,0.0,0.08,0.13,107.33,0.0059,1.5e3,0.0,0.0,6.0,584,0.0973,1.05,0.76,0.0,21.0,13.23,19,30.0,0.514,158.0,0.035,51.42
1.0,5.27,0.0,0.5509999999999999,Lamb; offal; lambs fry; fried,0.0,0.0,287.2,0.37,4.7,17.88,kg,0.0,0.0,13.4,0.19,162.24,0.0575,499.0,0.0,1.57,5.4,51,0.43027,1.12,5.1,5.22,5.0,25.8,11,20.9,0.986,458.8,0.01902,19872.0
500.0,0.04,0.0,0.0,Coconut; desiccated,0.0,0.0,750.0,2.28,3.0,1.85,g,0.0,0.0,0.55,0.3,604.66,0.0,399.0,0.087,0.06,3.6,80,0.0091,1.26,1.7,0.81,22.0,5.57,4,90.0,1.0,160.0,0.0032,0.0
440.0,3.04,0.0,0.267,Ox; offal; liver; fast-fried,0.0,0.0,336.0,0.328,4.11,20.52,g,0.0,0.0,5.73,0.45,135.35,0.096,369.0,0.0,0.38,7.17,85,0.59259,1.28,3.4,9.8,4.2,23.3,15,21.0,0.981,397.0,0.01621,21013.7
50.0,0.04,0.0,0.0,Watercress; leafy vegetable; raw,0.0,0.0,180.0,0.504,2.7,0.77,g,75.0,0.0,0.01,0.19,15.66,0.0,395.0,3.2e-4,0.12,2.24,1927,0.28,1.3,0.27,0.08,52.7,2.75,18,13.2,0.41,33.3,1.9e-4,825.82
1.0,0.07,0.0,0.0,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),0.0,0.00607,315.0,0.0476,0.0,0.57,kg,161.33,0.0,0.15,0.08,56.29,8.0e-5,599.0,0.0,0.0,0.21,83,0.03064,1.42,0.08,0.12,17.32,1.02,68,12.28,0.7228,25.2,4.4e-4,2.33
1.0,0.08,0.0,0.0,Apricot; flesh & skin; raw; Moorpark,0.0,0.0,240.0,0.11,0.13,0.9,kg,7.8,0.0,0.14,0.11,44.3,0.0,699.0,0.0019,0.03,0.48,74,0.0086,1.45,0.29,0.27,16.0,0.63,63,9.0,0.94,22.0,1.7e-4,1158.81
